Title,Price,Location
DEAD CENTER CARROLL GARDENS! ABSOLUTE DREAM HOME WITH PRIVATE YARD!,"$5,042",Carroll Gardens
"Newly Renovated 3BR,, Heat & Hot Water Included,, Walk to Subway!","$3,300",Astoria
Stunning 6th floor 2bed2bath+balcony+elevator+w/d in unit+gym+more,"$4,550",Bed Stuy @ Nostrand A/C + Bedford/Nostrand G
11/1 RENT STABILIZED FAB CHIC PRIME BUSHWICK 10 MIN NYC LAUNDRY ROOF,"$2,622",Bushwick
AMAZING 4 Bed 2 Bath + In-Unit W/D ✨20 min to CITY 🚊⚡️NO FEE,"$3,600",Bedstuy
No fee ✓Modern & spacious ✓Short commute ✓nightlife – TEXT,"$3,000",Bushwick
Artist’s Dream Loft in Bed-Stuy – Perfect for Creative Souls!,"$3,850",Bedstuy
1Bd/1Ba w/Alcove Perfect for WFH off the G &Herbert Von King Park!,"$2,950","Bed-Stuy, Brooklyn"
**No Broker Fee** 4BR Available Now! 34-15 9th Street,"$3,350",Long Island City
✨SHOWING TONIGHT!!✨PROSPECT HEIGHTS- 1 BLOCK FROM PROSPECT PL STOP! !✨,"$2,599",Prospect Heights
2 bed 2 bath Lease Takeover: 245 E 124th Street - $3595/month,"$3,595",East Harlem
Thoughtfully Renovated Two-Bedroom Apartment!!,"$3,050",Stuyvesant Heights
No Fee ✨Huge 1 Bed in Williamsburg🔥 2 Balconies 🌳Backyard ✨Rooftop,"$2,600",Williamsburg
2 Bath in artsy ⚜️ Bedstuy ⚜️,"$3,800",Brooklyn
"Rental - 3BDR & 1.5BR $3,650 mo","$3,650",MOUNT VERNON
"EXTREME LARGE TWO BR*CENTRAL PARK NORTH*STEPS #2,3 TRAINS","$3,200",Harlem / Morningside
Elegant and afforable 1BR APT in Williamsburg,"$2,557",Brooklyn
No broker's fee 2BR/2BA at Broad St,"$7,150",Financial District
1 Bath in artsy ⚜️ Bedstuy ⚜️,"$3,300",Brooklyn
⚡️🌳VERY DEMURE & CUTESY 🌳⚡️ WILLIAMSBURG 💥 2 bed/2 bath ☀️,"$4,700",Williamsburg
New 3 BED near trains and stores PITKIN AVE,"$3,000",PITKIN AVE
📍PROSPECT HEIGHTS📍 FRANKLIN AVE ☀️ PERFECT UNIT 🔥🍃 W/D 2b/2b,"$4,200",Prospect heights
beautiful large studio- Private Patio-North Chelsea-W 30 ST,"$2,327",Chelsea
🌳Bushwick 2 bed + Backyard 🍃 SWEET DEAL 🔥,"$2,700",Brooklyn
🌳BEDSTUY🌳 2 bed with Queen Sized Rooms! STEAL OF A DEAL ✨,"$3,000",Bedstuy
🍃🌳PROSPECT PARK STUDIO🌳🍃 FRANKLIN AVE 📍OPEN CONCEPT 😍☀️,"$2,750",Brooklyn
Beautiful Huge alcove studio-Elv & Lndry-North Chelsea-W 30 ST,"$2,800",Chelsea
📍PRIME WILLIAMSBURG📍LUXURY 2 bed/2 bath ☀️PRIVATE BALCONIES! SWEET DEA,"$4,073",Williamsburg
2 Studios left in this prime CH Lux building! Come view today!,"$2,600",Crown Heights
🌳Bushwick🌳 1 bed/1 bath QUEEN SIZED ROOM ⚡️ SWEET DEAL 😎,"$2,500",Bushwick
3 Bedroom Apt with large private balcony,"$3,000",Woodside
"Charming 2-Bd Room Apt w/ Office in Bed-Stuy – $2,800 (Will Not Last)","$2,800",Brooklyn
"Spacious 3BR, Whole Floor; Dishwasher; Roommates/Couple; Park Slope","$3,850",Park Slope; 9St/3Ave
"Beautiful, Modern 1 Bedroom Apt with Parking","$2,450",White Plains
LIVE LIKE A ☼ & ♔ NO FEE :),"$3,000",Bushwick
"Beautiful Luxury Private Yard In Unit Laundry Two Blocks Mall, Train","$2,800",East Flatbush
Renovated Garden Apt - Balcony,"$2,800",Harrison
"IN UNIT LAUNDRY , CHIC APT WITH DISHWASHER ROOF ACCESS AMAZING","$3,000",Bushwick
"EASY APPROVAL! GORGEOUS LUXURY BUILDING! OFF L TRAIN! GYM, ROOF, WHOA","$2,450",East New York Near Bushwick L train
3 Bedroom Apt. for Rent,"$3,500","Jersey City, NJ"
No Fee - 1 Bedroom Apartment for Rent,"$2,000",Williamsburg - Bushwick
THE BROWNSTONE SWEETIE,"$2,700",STUYVESANT HEIGHTS
No Fee -Large 1 Bedroom Apartment with private Backyard!,"$2,350",Williamsburg - Bushwick
THE EYE POPPER TWO,"$2,800",MIDWOOD
THE HEAVENLY THREE,"$3,800",CROWN HEIGHTS
THE BLESSING TWO,"$3,200",PROSPECT LEFFERTS GARDEN
furnished home in quaint riverside for 1-6 mos,"$5,000",riverside
"Williamsburg 1 bedroom! Near L train at Montrose, gym, elevator, no fee!","$2,735","Williamsburg, East Williamsburg"
🌈(Bushwick)🌈 Huge 3br w/ W&D + Balcony from living room,"$3,500",Brooklyn
Lease takeover in 4 bed / 2 bath luxury building apartment,"$2,400",Financial district
Modern 3 Bedroom For CityFheps,"$3,600",Tremont - Bronx
Luxury 3BR Available Now! 31 Brooklyn Ave,"$3,715","Bedford Stuyvesant, Brooklyn"
"3 bed, 2 bath Townhouse for rent","$2,800",Staten island
**No Broker Fee** 4BR Available Now! 86 Utica Ave,"$4,000","Bedford Stuyvesant, Brooklyn"
**No Broker Fee** 3BR with BACKYARD Available Now! 250 Melrose St,"$3,483","Bushwick, Brooklyn"
Spacious 3-Bedroom Ground-Floor Apt,"$3,100",White Plains
---AMAZING LOCATION.--SPACIOUS 1BR---LUX BLDG--GUT RENOV.---,"$2,600",Whitestone
---GREAT LOCATION---CLEAN & SPACIOUS---LUX. BLDNG---,"$2,600",Whitestone
---GREAT LOCATION---CLEAN & SPACIOUS 1BR---LUX. BLDNG---,"$2,850",Whitestone
---RENOVATED-- GREAT LOCATION-- SPACIOUS 1BR---,"$2,500",Whitestone
"🌈(Bushwick - L + M Lines)🌈 W&D In-Unit, Tons of Light, Large Kitchen","$3,300",Brooklyn
**No Broker Fee** LUXURY Studio Available! 101 Varet Street,"$3,050","Williamsburg, Brooklyn"
Astoria-No Fee-Large 6rm-3bd rm-2fl bath-Balcony,"$3,950",astoria
Awesome 2 Bed! Prime Bushwick - Available Now,"$3,000",Bushwick
Large Brooklyn  Private Studio,"$1,350",Cypress Hills
Renovated Four Bedroom Apartment,"$3,705",Cyprus Hill Brooklyn
Maria Hernandez Park💫 2 Bed w/  Backyard 🌳,"$3,100",Bushwick
The pinnacle of luxury living!,"$3,250",Financial District
NO FEE Luxurious Living at 17 Monitor Street in Greenpoint,"$4,000",Geenpoint Williamsburg Brooklyn
Amazing 2 bed apartment in prime Williamsburg,"$4,150",Brooklyn
Best Building in Williamsburg Waterfront,"$4,850",Brooklyn
🌈 Willamsburg - L+M+J+G lines!🌈 Private Outdoor Area + W&D In-Unit!,"$4,595",brooklyn
"🌈(Bushwick - Jeff L)🌈 Huge Backyard, Large Bedrooms, Next to Park 🎥","$3,100",Brooklyn
🌈 Willamsburg - Montrose L 🌈 Large 3 Bed in Amenity Filled Building,"$4,800",brooklyn
One bedroom steps to shore road super laundry,"$1,900",Bay Ridge
🌈Willamsburg - L/M/J/G Lines🌈 Beautiful apartment w/ great amenities,"$3,400",Brooklyn
Apartamento 2 habitaciones 1 baño,"$2,700",East elmhurst
🌈 Willamsburg - Grand L🌈 Big Duplex 1br - beautifully renovated,"$3,200",Brooklyn
1 Bedroom unit available now,"$1,900",Yonkers
Manhattan West 57 st. Between 9/10 Ave,"$2,800",Midtown West
"PRIME LES 2BR DUPLEX loft, 2 baths, laundry, elevator, roofdeck, VIDEO","$4,495",Lower East Side
AVAILABLE STUDIO APARTMENT,"$1,000",jersey city
FIRST FL.*NEW BATHROOM*PARKING*LAUNDRY*CAT OK,"$2,295",WHITE PLAINS
LARGE 3 BEDROOMS APARTMENT RENEWED,"$3,200",East Elmhurst
TRIBECA 1 BED 24H FULL SERVICE BUILDING,"$5,550",TriBeCa
**No Broker Fee** 3BR Available Now! 77 Divison Ave,"$3,900","Williamsburg, Brooklyn"
**No Broker Fee** 1BR Available Nov 1st! 77 Division Ave,"$2,925","Williamsburg, Brooklyn"
NO FEE! LARGE ALCOVE (FLEX 1) HUGE PRIVATE TERRACE!,"$4,325",Financial District
"Modern 3bed next to MH park- in-unit laundry, no fee","$3,650",Bushwick
2BR apartment located in Park Slope,"$3,200",Park Slope
**No Broker Fee** Luxury 2BR Available Now! 1499 Bedford Ave,"$3,874","Crown Heights, Brooklyn"
"NO FEE 1 BED FLEX 2 IN 24H DOORMAN, Full Service","$4,350",Financial District
NO BROKER FEE!!__1 MONTH FREE!!__MUST SEE!,"$2,900",Financial District
**No Broker Fee** Luxury Studio Available Now! 1499 Bedford Ave,"$2,656","Crown Heights, Brooklyn"
One bedroom private house walk-in,"$2,700",Staten Island
NO FEE! BEAUTIFUL 1 BED W/ TERRACE! HEART OF FIDI!,"$4,565",Financial District
"🌼LONG ISLAND CITY 4 Bed 2 Bath, NO FEE! ASAP MOVE IN","$3,300",Long Island City
Huge 2BR Apt in Washington Heights / Great deal! NO Fee,"$2,500",Inwood / Wash Hts
Large 1BR Apt in Mosholu - Elevator - No Fee,"$1,800",Mosholu Area
Morris Ave - Studio Apt / No Fee - Elevator Bldg,"$1,350",Morris Ave (Fordham Rd Area
Elmhurst - Beautiful 1BR Apt  - Elevator / No Fee,"$2,050",Elmhurst (1 block from Subway
NO FEE! OPEN AND AIRY STUDIO APARTMENT! HEART OF FIDI!,"$3,495",Financial District
Large one bed apt walk in  Partial furnished E. Elmhurst,"$2,250",Upper Ditmars
One Bedroom - all welcome,"$2,500",Staten Island
"2BR,RETRO Eat-in-KitNEW OvenRETRO1.5Baths,L-shapeDR/LRw/BALCONY,WOODfl","$2,600",Middle Village near Masbeth
1 Bedroom Available for Rent,"$1,850",Yonkers
NO FEE! LARGE SUN DRENCHED 2 BEDROOM W/ WIC! HEART OF FIDI!,"$7,495",Financial District
"3BR,RENOVATEDkit/DISHW,NEWbath,L-shapeDR/LR,KINGsizeMasterBR,WOODflr","$2,800",Whitestone near NORTH Flushing
3bed w/ a/c+dishwasher+laundry+roof deck+cute little balcony,"$2,900",Bushwick @ Gates J/Z
"3BR near LIRR,RenovatedKit/DISH2 FULLbathDR/LR,WASH/DRY,DRIVEWAY,YARD","$2,900","Bayside near LIRR, Douglaston and Little Neck"
3bed w/ huge sunny living room+dishwasher+laundry in unit,"$3,250",Bed Stuy @ Kingston/Throop A/C
"PARK SLOPE.THREE SEP BRS.ROOF DECK,GARDEN VIEWS.RECENT RENO.NO BROKER","$3,495","PARK SLOPE PRIME, BROOKLYN."
🌳Huge 2 Bed in Heart of Bushwick! ASAP Move In! NO FEE🌼,"$3,199",Bushwick
**No Broker Fee** 2.5BR DUPLEX Available Nov 1st! 295 Maujer St,"$3,800","East Williamsburg, Brooklyn"
"Large Duplex - 2BR, 1BR, Backyard","$4,500",Williamburg
**No Broker Fee** 2.5BR Available Now! 1287 Decatur St,"$3,050","Bushwick, Brooklyn"
**No Broker Fee** 1BR Available Now! 499 Washington Ave,"$3,000","Clinton Hill, Brooklyn"
**No Broker Fee** 2BR Available Now! 49 Menahan St,"$2,800","Bushwick, Brooklyn"
"Rent Stabilized 1 Bed in Crown Heights, avail 10/15 {REF#281}","$1,532",Crown Heights - Rent Stabilized
Renovated 2 Bedroom right across the street from Prospect Park!,"$2,995",Prospect Park South/ProspectPark
**No Broker Fee** 1.5BR Available Now! 1002 Bushwick Ave,"$3,100","Bushwick, Brooklyn"
"3bed/3bath next to Maria Hernandez, W/D in-unit!","$3,700",Bushwick
New construction 3 Bed 2 Bath,"$3,000",paterson
"$1,7oo STORE 4 RENT",$1,"Forest Avenue, Ridgewood Queens"
53RD STREET AND LEXINGTON AVE LARGE STUDIO INC GAS AND ELECTRIC,"$2,300",Midtown
61-59 69TH STREET AND ONE BEDROOM NEAR TRANS,"$1,550",MASPETH
Amazing_Spacious_One Bedroom_With All utilities included,"$1,599",Ozone Park/Jamaica/wood Haven
